"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","4","9","16","49","69","74","66","74","84","69","77","78","77","80","82","85","83","87","99","93","94","94","96","97","94","96","94","96","97","98","98","98","98","98","98","98","98","98","",
"Bulgaria","BGR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","98","99","99","99","99","99","99","99","99","99","99","99","98","98","93","96","95","94","95","96","93","94","93","96","95","96","95","95","95","94","94","95","95","95","88","91","92","92","92","93","91","89","91","92","",
"Bahrain","BHR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","72","75","79","83","86","90","92","95","96","96","94","99","94","94","96","95","96","98","98","97","97","99","98","97","98","98","98","97","97","98","99","99","99","99","99","98","99","97","99","99","98","98","97","99","",
"Bahamas, The","BHS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","36","55","69","65","69","86","85","85","85","86","86","92","92","91","91","87","85","86","89","82","99","99","94","92","93","93","95","95","93","96","99","98","98","97","96","95","94","94","90","89","83","86","87","87","",
"Bosnia and Herzegovina","BIH","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","38","82","55","67","79","89","90","85","91","80","87","84","93","87","95","91","90","89","88","92","89","86","82","78","75","73","73","72","76","75","73","",
"Belarus","BLR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","91","92","96","98","98","99","99","99","99","99","50","99","99","99","95","97","96","98","98","98","98","97","99","98","97","97","98","97","98","98","98","",
"Belize","BLZ","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","47","44","61","59","53","58","82","85","61","79","91","82","74","85","88","83","85","86","87","87","91","96","89","96","97","96","98","96","94","97","96","95","98","95","95","94","95","88","96","98","79","83","84","85","",
"Bermuda","BMU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","11","13","12","10","6","33","42","35","28","52","41","43","45","52","58","64","61","58","61","77","75","71","77","88","84","85","83","84","88","93","91","95","93","87","85","89","87","84","83","75","68","70","69","67","",
"Brazil","BRA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","37","47","56","60","68","66","58","58","58","56","66","78","71","75","74","81","77","79","93","94","98","98","99","99","99","99","99","99","99","99","99","99","95","97","93","96","89","83","87","70","77","68","77","90","",
"Barbados","BRB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","60","58","62","69","83","83","79","79","76","78","91","82","90","86","90","93","85","96","93","87","93","84","87","89","93","92","84","93","85","93","86","91","87","91","94","97","97","90","95","90","85","82","86","85","",
"Brunei Darussalam","BRN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","89","94","99","85","96","88","86","85","89","91","93","95","96","99","99","99","99","99","97","92","99","97","94","92","92","94","97","99","98","99","95","97","95","99","99","99","99","99","99","99","99","99","99","99","",
"Bhutan","BTN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","6","13","15","16","28","41","53","63","70","76","96","91","86","79","86","87","87","87","86","90","92","88","86","95","89","95","95","95","96","93","91","95","97","97","99","99","98","98","97","97","95","98","98","99","",
"Botswana","BWA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","71","75","82","82","83","84","86","88","88","92","92","93","94","94","94","95","96","96","98","97","97","97","97","96","96","96","96","96","96","96","95","95","95","95","95","95","95","95","95","95","95","95","86","95","",
"Central African Republic","CAF","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","13","11","14","16","17","20","19","22","42","64","82","64","45","47","48","53","48","43","43","33","37","40","44","47","51","54","51","48","45","42","45","47","47","23","45","43","42","42","42","42","42","42","42","42","",
"Canada","CAN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","86","87","88","88","89","90","93","87","90","86","90","90","89","89","88","91","91","93","95","94","92","91","89","87","91","91","91","91","91","91","91","91","92","92","92","92","",
"Central Europe and the Baltics","CEB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","68.6576116256637","69.3263805269535","69.004041610927","70.0850629147838","72.2554114584928","95.2211483893106","94.1947927127011","95.4925106035942","96.6055229584835","96.6189151120148","96.6149514547641","96.7130223670696","93.2670355803531","88.4353978041372","95.8016717745277","96.3050585076712","96.752633333516","96.8575941154652","97.0619768589985","97.1882850392905","97.4836907616872","97.662389517531","97.8080680038407","97.6825459856542","97.7876795761516","97.8019672520876","97.7936897886735","97.6801291483228","97.7226590326869","97.5018985452189","97.2329582606128","96.2438839295981","96.6626094838798","96.7209325938485","96.014862434318","95.1936518228541","95.2002900423646","93.0584651077718","93.4659064761695","94.0961032435057","93.3883454067882","92.3943475446352","92.422717830825","91.101491432676","",
"Switzerland","CHE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","90","90","90","89","89","89","89","89","89","89","88","93","93","93","93","93","93","94","94","94","95","95","95","96","96","96","96","96","96","96","96","96","96","96","96","95","",
"Channel Islands","CHI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","93","99","99","89","99","99","90","93","96","95","95","94","90","90","94","94","91","90","90","95","91","97","97","96","93","91","94","96","95","94","92","94","90","91","95","96","95","93","95","96","93","95","96","96","",
"China","CHN","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","58","73","78","78","75","95","95","97","94","91","88","85","80","83","84","84","85","85","86","86","86","87","87","93","93","97","99","99","99","99","99","99","99","99","99","99","99","99","99","99","97","",
"Cote d'Ivoire","CIV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","19","25","30","31","31","42","54","39","49","50","50","52","55","58","58","58","65","66","64","61","67","76","77","76","74","81","78","61","82","75","73","79","87","83","83","79","72","73","73","79","",
"Cameroon","CMR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","5","15","25","27","33","39","44","50","56","48","42","37","37","38","46","46","48","56","59","62","63","66","73","73","80","81","82","84","80","84","81","79","76","76","76","78","74","68","67","68","71","71","75","",
"Congo, Dem. Rep.","COD","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","18","17","16","27","37","32","38","41","38","35","16","23","29","26","23","18","18","18","25","40","30","38","41","54","60","62","65","68","71","60","70","71","71","73","70","70","71","71","73","70","65","65","60","",
"Congo, Rep.","COG","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","42","42","47","50","53","54","71","72","72","79","79","74","67","60","55","50","37","23","26","29","33","31","41","50","67","62","73","72","79","78","74","82","85","85","90","80","71","69","75","79","73","77","78","78","",
"Colombia","COL","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","16","20","26","42","61","61","48","58","74","78","88","84","78","88","85","85","85","84","73","74","79","80","81","92","89","93","93","94","92","92","88","85","91","91","90","91","91","92","92","94","88","86","87","90","",
"Comoros","COM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","31","51","71","71","43","82","94","52","38","70","58","75","60","48","75","73","70","70","89","80","76","68","69","75","81","83","74","83","86","83","80","80","75","79","77","78","74","72","78","75","",
"Cabo Verde","CPV","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","23","31","39","54","92","88","99","88","87","88","89","89","88","88","87","88","89","90","90","91","92","93","95","96","98","99","99","99","90","94","93","95","93","96","96","98","96","93","93","93","93","",
"Costa Rica","CRI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","86","85","81","86","93","90","89","94","87","86","95","90","90","88","88","85","85","94","85","86","88","91","94","88","90","91","89","89","90","86","88","85","91","95","91","92","97","96","94","95","97","93","95","99","",
"Caribbean small states","CSS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","38.1738545481725","46.641377175886","62.0145553101787","69.5332502285382","74.2311982325635","78.8283881513771","77.4360265185332","76.9219271032069","70.9537813025875","80.5686703339817","86.3570215034062","83.8779408957751","83.0743285034513","89.0972855680655","88.1821034043776","88.195878681377","85.7230893321913","88.6074015892778","90.7663520742909","85.9145922493184","86.8078966964527","86.816358974359","87.1844279169185","88.8733794839522","91.2902177415642","92.0999107436464","91.4289068217894","92.9296924880169","91.7379504643375","94.9452919020716","95.1642442544144","91.6368524653128","92.0530796145351","92.1860000389917","91.25696459241","90.5387905590447","91.9743816426059","87.628619383208","91.7806837657642","92.0948803894575","81.9072503858721","86.3733042415427","88.1620092260379","86.5125684073834","",
"Cuba","CUB","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","67","68","99","99","86","91","99","87","98","96","92","99","94","99","99","99","90","99","99","95","95","98","99","72","88","89","89","93","95","96","96","97","99","99","99","99","99","99","99","99","99","99","99","99","",
"Curacao","CUW","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","34","56","26","34","30","61","91","93","90","93","93","94","94","95","95","96","98","98","98","97","97","97","97","97","98","98","97","97","97","99","99","98","98","98","98","96","96","97","99","95","95","95","95","95","",
"Czechia","CZE","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","98","96","97","98","98","98","98","98","98","97","98","97","98","99","99","99","99","99","99","98","97","97","96","96","97","97","97","94","94","94","",
"Germany","DEU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","95","97","93","94","80","90","80","80","80","80","80","85","62","73","78","84","87","89","97","90","93","93","97","96","96","96","96","96","96","96","95","95","93","93","93","91","91","91","91","91","91","91","91","",
"Djibouti","DJI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","6","14","21","22","24","25","65","77","85","53","41","41","41","41","41","32","23","23","46","53","62","68","64","71","72","88","89","89","88","87","81","82","78","84","68","76","84","85","70","59","59","72","",
"Dominica","DMA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","63","97","99","93","84","91","93","95","96","92","92","98","99","99","99","99","99","92","99","99","99","99","98","99","99","98","95","96","96","99","98","98","97","96","97","98","99","91","94","99","96","92","82","56","",
"Denmark","DNK","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","88","88","87","86","86","90","89","88","87","89","90","90","91","88","89","90","77","92","99","99","97","97","98","96","95","93","93","87","88","89","90","91","94","94","94","93","94","98","97","97","97","97","97","97","",
"Dominican Republic","DOM","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","36","27","28","29","34","39","80","80","69","58","69","71","73","75","74","72","72","73","75","83","78","72","82","79","79","87","89","85","82","82","88","84","85","83","91","85","87","84","87","89","82","84","88","90","",
"Algeria","DZA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","69","73","79","85","87","89","89","88","88","87","88","88","89","85","83","86","89","86","87","86","88","95","95","93","95","95","95","95","95","95","95","91","91","91","88","84","81","77","92","",
"East Asia & Pacific (excluding high income)","EAP","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","6.15840568485231","6.76350602038805","6.77240457195506","45.6118671469507","56.6683114301344","63.9287350890803","68.0626493197954","68.36151042563","84.5971449026819","87.2410038738061","90.2954137771451","88.1121160205933","85.223703506023","83.0948599367836","81.5522548759085","78.4820496574409","80.9426624705645","82.0087242308235","82.2087328048845","82.4980092278623","82.8277640197103","83.3846952045127","81.5754487659482","83.5724036480388","84.6188348441412","84.6651051805794","88.4011172566488","88.5284449238974","91.6685182342678","93.587789940975","93.8941515953746","93.9471236544088","95.0154696887325","93.2902230323736","94.4579097420039","93.6407792608075","94.3429545578678","94.2869260671849","93.3712003146713","93.8128741395062","92.1264354042602","85.2246523795853","91.5719959486202","87.6420311162955","",
"Early-demographic dividend","EAR","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","12.9331386449222","14.8639199052353","18.0741216885474","21.486133962053","24.6234881361732","29.5849125347882","34.3740796403827","41.1952743774199","48.5800446835243","56.6920238738402","69.4971843103563","63.1642598942485","62.4221598970822","64.6070544020454","69.1973672079653","71.9571884616811","70.1146667880067","69.4327134409615","68.9051273221211","68.1233119903291","68.622803452311","69.0506457395109","68.6645997468607","70.3772268331675","73.0801985502098","73.6923387899084","73.9499470986921","73.5844539300916","76.3324552807287","78.64804010358","80.7110022596469","82.9385236674151","83.0568237826124","83.3311364840865","84.3081628459179","84.7863924822587","86.3368767076467","86.3119257097793","86.9343216726444","87.5206357695366","83.0693315914112","81.5641667198456","87.5378368711442","86.7820547429883","",
"East Asia & Pacific","EAS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","9.10242056525341","11.661068379081","11.7681555079252","47.6892569859781","58.2131477758798","65.0099262920523","68.8962616280081","68.866655502057","84.1948794826434","87.2929583021542","90.0322966459568","88.1017934627896","85.2959712845086","83.3223120093817","81.8156806395459","78.8723804489845","81.8649362758562","81.524939879489","81.7894723241691","82.5558178601782","83.3021877040891","84.2141499936152","82.5561940920282","84.4472826073317","85.3180057372518","85.4389001331982","88.9388673146803","88.9479721954388","91.9335500954488","93.7003545877948","93.9851582100013","94.1106052353254","95.1089705464889","93.4386339446754","94.5453587787018","93.7675342743089","94.5333744222956","94.4779510536348","93.5859887910655","94.0037356055176","92.3572658751335","85.967260698375","91.9412798982402","88.2480029699967","",
"Europe & Central Asia (excluding high income)","ECA","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8328372284931","72.3743217044088","82.8945495307444","81.9097321710962","85.0422973740531","88.1157027859428","89.2358143711583","88.8773668175012","91.0232040050099","92.237301605055","88.1877710142248","82.295258242246","89.9340608211463","92.9488137321644","92.4285461264049","94.4987142088524","94.3374781628011","92.0210248840265","90.1447309790479","90.581719721904","93.9315518681665","94.5546191058121","86.757137338157","88.1562051645343","87.0594117934238","91.5292557389362","94.2396149186166","95.4500934616907","92.8910894426558","93.4638223111288","95.0863815736154","95.959291690338","",
"Europe & Central Asia","ECS","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6666028538988","80.7411976731653","87.6866238505395","86.5692366102681","89.0272175175644","90.8536099681535","91.6570818729993","92.9186574608232","92.9194691665217","94.0069450426181","92.9120438567252","91.3163377410553","93.9385606121698","95.0111127443644","95.187264580376","95.8547510464808","95.8195350011126","94.9610813170174","94.3664049289252","94.4388056494553","95.7092623373931","95.7746315754409","92.8150860260607","92.9784310277022","92.2575088692642","93.671519493794","94.6594285347155","95.0863919345448","93.9151389510149","93.9918411718637","94.5141746407343","94.648814679198","",
"Ecuador","ECU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","10","26","35","31","48","41","44","51","54","55","68","59","87","85","84","83","82","81","85","79","87","89","88","87","88","92","96","96","96","94","91","88","87","87","83","78","83","85","85","85","70","72","70","70","",
"Egypt, Arab Rep.","EGY","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","57","57","57","57","69","84","80","81","87","90","87","76","79","81","83","88","90","88","92","97","98","99","97","98","97","98","98","98","97","97","97","96","93","97","94","93","95","94","95","95","94","96","97","96","",
"Euro area","EMU","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","33.8265285993228","57.2589681965316","59.8709540171278","60.3049611733415","74.6340547139829","69.0168478133152","74.7761779384032","69.6750927422518","69.5552002326726","72.8455882592189","85.4868952105234","88.7871672128378","89.4337268166427","83.0426288462551","88.6727350417595","90.0814619022664","92.0075471698113","92.6586926658897","92.7679868769937","95.0337845676853","92.6247056530536","94.5241487070234","94.8293053412417","96.413105501948","95.9101603918517","95.9409959722839","96.7525329913675","96.8241457493286","96.8165958012379","96.4179803833136","96.8846809084649","96.7265913748724","96.9055061117223","96.4035963721848","96.0930671931831","95.2777345917415","94.4566257669645","94.2978682435211","94.2216457945693","94.257954909535","93.833643001286","93.5822087935714","93.6898732397045","93.581808731214","",
"Eritrea","ERI","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32","49","58","66","75","86","93","81","86","90","93","98","96","94","95","95","95","95","94","94","94","94","95","95","95","95","95","95","95","95","95","",
"Spain","ESP","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","95","79","88","77","93","93","86","86","84","87","88","90","90","94","95","95","95","96","98","98","97","96","98","96","97","96","97","97","96","96","97","97","97","95","96","95","94","92","93","93","",
"Estonia","EST","Immunization, DPT (% of children ages 12-23 months)","SH.IMM.IDPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","77","82","87","87","88","91","93","94","94","94","94","96","95","95","95","95","94","93","94","94","93","93","93","93","92","91","91","90","90","90","",
